query_id,precision_at_k,recall_at_k,f1_at_k,reciprocal_rank,ndcg
572a06af3f37b3190047866a,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5726249538643c19005ad080,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
57337ddc4776f41900660bbe,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
57332e48d058e614000b5765,0.2,1.0,0.33333333333333337,1.0,1.0
56e16182e3433e1400422e29,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
57097051ed30961900e84134,0.2,1.0,0.33333333333333337,1.0,1.0
571c3e8cdd7acb1400e4c0a6,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5ad0421177cf76001a686f15,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
57097b50200fba1400368050,0.2,1.0,0.33333333333333337,1.0,1.0
5ad3ed37604f3c001a3ff7a1,0.2,1.0,0.33333333333333337,1.0,1.0
5a7b079b21c2de001afe9cf9,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
572fe53104bcaa1900d76e6d,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5a893ce63b2508001a72a556,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5ad24e50d7d075001a428c3c,0.25,1.0,0.4,1.0,1.0
5725fb8138643c19005acf3f,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5ad3b826604f3c001a3fee47,0.2,1.0,0.33333333333333337,1.0,1.0
57299ec43f37b3190047850e,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5a1c8753b4fb5d0018714669,0.2,1.0,0.33333333333333337,1.0,1.0
5ad40219604f3c001a3ffd47,0.2,1.0,0.33333333333333337,1.0,1.0
5a0c96fbf5590b0018dab487,0.25,1.0,0.4,1.0,1.0
5ad4bcc45b96ef001a109e9f,0.2,1.0,0.33333333333333337,1.0,1.0
572a005f1d046914007796bb,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5ad3ba81604f3c001a3fee9d,0.25,1.0,0.4,1.0,1.0
572996c73f37b319004784b4,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5ad4a682ba00c4001a268eca,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5ad5344b5b96ef001a10ab89,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5a2ecb43a83784001a7d248e,0.2,1.0,0.33333333333333337,1.0,1.0
572871bc4b864d1900164a04,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
572827fc3acd2414000df5be,0.2,1.0,0.33333333333333337,1.0,1.0
572881d34b864d1900164a5a,0.2,1.0,0.33333333333333337,0.5,0.6309297535714575
5a0c6a7ef5590b0018dab3fc,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5728659f4b864d190016498d,0.2,1.0,0.33333333333333337,1.0,1.0
5a2c36c4bfd06b001a5aea68,0.2,1.0,0.33333333333333337,1.0,1.0
5ad26235d7d075001a429083,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5a6ce2ec4eec6b001a80a677,0.2,1.0,0.33333333333333337,1.0,1.0
5733647e4776f419006609b1,0.2,1.0,0.33333333333333337,1.0,1.0
5ad4a110ba00c4001a268e61,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
572815d9ff5b5019007d9cbe,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5a836496e60761001a2eb65a,0.2,1.0,0.33333333333333337,1.0,1.0
5ad15d77645df0001a2d18c1,0.2,1.0,0.33333333333333337,1.0,1.0
5a82237d31013a001a335244,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5726a46cdd62a815002e8bd0,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5ad24057d7d075001a428930,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5727c3b02ca10214002d95bb,0.2,1.0,0.33333333333333337,1.0,1.0
56dde27d9a695914005b9651,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5ad28861d7d075001a429941,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
570961aa200fba1400367f15,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
571090abb654c5140001f998,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5ad0291f77cf76001a686c2a,0.2,1.0,0.33333333333333337,1.0,1.0
57302efe04bcaa1900d772f6,0.2,1.0,0.33333333333333337,1.0,1.0
5acf7dcf77cf76001a684f7c,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
572a0b101d046914007796ea,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5a25bd5cef59cd001a623cc8,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5ad2424cd7d075001a42898c,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.3562071871080222
5a820ebf31013a001a33516c,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
57293ca73f37b3190047815d,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
5ad3a8fe604f3c001a3feb05,0.2,1.0,0.33333333333333337,1.0,1.0
5729da0faf94a219006aa676,0.25,1.0,0.4,1.0,1.0
5a63888168151a001a922342,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
571097baa58dae1900cd6a9b,0.16666666666666666,1.0,0.2857142857142857,1.0,1.0
